No. overall [n 1],No. in season,Title [n 2],Directed by,Written by,Animation directed by,Original release date [n 3],Viewership rating [n 5]
1135,47,"""To the Sea Where My Father Is! The Future Bonney Chooses"" Transliteration: ""Chichi no Iru Umi e! Bonī ga Erabu Mirai"" (Japanese: 父のいる海へ！ボニーが選ぶ未来)",Directed by : Shō Matsui & Wataru Matsumi Storyboarded by : Shō Matsui,Shinzō Fujita,Kenji Yokoyama,"July 6, 2025",3.7%[55]
1136,48,"""Kuma's Life"" Transliteration: ""Kuma no Jinsei"" (Japanese: くまの人生)",Yasunori Koyama,Shōji Yonemura,"Hiroto Saitō, Kimitaka Itō & Masayuki Satō","July 13, 2025",2.7%[56]
1137,49,"""I'm Sorry, Dad - Bonney's Tears and Kuma's Fist"" Transliteration: ""Gomen ne, Otōsan - Bonī no Namida to Kuma no Koboshi"" (Japanese: ごめんね、お父さん ボニーの涙とくまの拳)",Wataru Matsumi,Jin Tanaka,Yong-Ce Tu & Ziwei He,"July 27, 2025",2.7%[57]
1138,50,"""Thank You, Dad - Bonney and Kuma's Warm Embrace"" Transliteration: ""Arigatō, Otōsan - Bonī to Kuma no Atsuki Hōyō"" (Japanese: ありがとう、お父さん ボニーとくまの熱き抱擁)",Directed by : Tomohiro Higashi Storyboarded by : Katsumi Tokoro,Tomohiro Nakayama,Masahiro Kitazaki,"August 3, 2025",2.6%[58]
1139,51,"""Destroy Egghead - The Buster Call Is Invoked"" Transliteration: ""Egguheddo o Hakai Seyo - Basutā Kōru Hatsudō"" (Japanese: 未来島（エッグヘッド）を破壊せよ バスターコール発動)",Yusuke Suzuki,Ryo Yamazaki,Kazuya Hisada,"August 10, 2025",2.6%[59]
1140,52,"""An Admired Hero - The Warrior of Liberation Who Saves Bonney"" Transliteration: ""Akogare no Hīrō - Bonī o Sukuu Kaihō no Senshi"" (Japanese: 憧れのヒーロー ボニーを救う解放の戦士)",Yasuhiro Tanabe,Atsuhiro Tomioka,Nobuyuki Iwai & Keita Saitō,"August 17, 2025",2.3%[60]
1141,53,"""Reliable Reinforcements! Dorry and Brogy Arrive!"" Transliteration: ""Tanomoshiki Engun! Dorī to Burogī Tōchaku!"" (Japanese: 頼もしき援軍！ドリーとブロギー到着！)",Eri Hyun,Akiko Inoue,"Shigefumi Shingaki, Shūichi Itō & Zhi Guang Liu","August 24, 2025",2.7%[61]
1142,54,"""Come In, World - Vegapunk's Message"" Transliteration: ""Ōtō Seyo, Sekai - Begapanku no Messēji"" (Japanese: 応答せよ、世界 ベガパンクのメッセージ)",Directed by : Atsuo Yamai Storyboarded by : Miho Hirayama,Shinzō Fujita,Eisaku Inoue,"September 7, 2025",2.8%[62]
1143,55,"""Vegapunk's Secret Plan - A Tense Worldwide Broadcast"" Transliteration: ""Begapanku no Hisaku - Kinpaku no Zen Sekai Haishin"" (Japanese: ベガパンクの秘策 緊迫の全世界配信)",Hazuki Omoya,Shōji Yonemura,Toshio Deguchi & Yuki Yoshida,"September 14, 2025",2.3%[63]
1144,56,"""The Worst Nightmare - The Five Elders Come Together"" Transliteration: ""Saikyō no Akumu - ""Gorōsei"" Shūketsu"" (Japanese: 最凶の悪夢 ｢五老星｣集結)",Toshinori Fukuzawa,Jin Tanaka,"Shin Kashiwaguma, Katsumi Ishizuka & Yong-Ce Tu","September 21, 2025",2.6%[64]
1145,57,"""Friends Fight Together! Luffy and the Warriors of Elbaph"" Transliteration: ""Dachi to no Kyōtō! Rufi to Erubafu no Senshi"" (Japanese: 友達（ダチ）との共闘！ルフィとエルバフの戦士)",Kenichi Takeshita,Tomohiro Nakayama,Masayuki Takagi,"September 28, 2025",2.6%[65]
1146,58,"""An Imminent Threat - Stussy and Edison's Resolve"" Transliteration: ""Osoi-kuru Kyōi - Sutyūshī to ""Ejison"" no Ketsui"" (Japanese: 襲い来る脅威 ステューシーと｢想（エジソン）｣の決意)",Shō Inuzuka,Ryo Yamazaki,Kenji Yokoyama,"October 19, 2025",2.8%[66]
1147,59,"""A Stunning Conclusion - Vegapunk's Great Prediction"" Transliteration: ""Kyōgaku no Ketsuron - Begapanku no Dai Yogen"" (Japanese: 驚愕の結論 ベガパンクの大予言)",Katsumi Tokoro,Atsuhiro Tomioka,Masahiro Kitazaki,"October 26, 2025",3.1%[67]
1148,60,"""The Lost History - Joy Boy, the First Pirate"" Transliteration: ""Maboroshi no Rekishi - Hajimari no Kaizoku Joi Bōi"" (Japanese: 幻の歴史 はじまりの海賊ジョイボーイ)",Yusuke Suzuki,Akiko Inoue,Kazuya Hisada,"November 2, 2025",2.8%[68]
1149,61,"""The Void Century - A Revelation About a Sinking World"" Transliteration: ""Kūhaku no Hyaku-nen - Sekai Chinbotsu no Shinjitsu"" (Japanese: 空白の100（ひゃく）年 世界沈没の真実)",Shō Matsui,Shinzō Fujita,Hiroto Saitō & Yuki Yoshida,"November 9, 2025",3.4%[69]
1150,62,"""Get the Ship Moving! The Iron Giant Activates"" Transliteration: ""Fune o Dase! ""Tetsu no Kyojin"" Shidō"" (Japanese: 船を出せ！〝鉄の巨人〟始動)",Directed by : Tomohiro Higashi Storyboarded by : Miho Hirayama,Shōji Yonemura,"Eisaku Inoue, Keita Saitō & Kimitaka Itō","November 16, 2025",2.8%[70]
1151,63,"""Her and Her Father's Dream! Bonney's Free Future"" Transliteration: ""Chichi to Egaita Yume! Bonī no Jiyūna Mirai"" (Japanese: 父と描いた夢！ボニーの自由な未来)",Directed by : Eri Hyun Storyboarded by : Aya Komaki & Eri Hyun,Jin Tanaka,Masahiro Shimanuki & Zhi Guang Liu,"November 30, 2025",2.8%[71]
1152,64,"""Her Father and Mother's Legacy! Bonney's Nika Punch"" Transliteration: ""Chichi to Haha no Omoi! Bonī no Nika Panchi"" (Japanese: 父と母の想い！ボニーの解放の拳（ニカパンチ）)",Nozomu Shishido,Tomohiro Nakayama,Yong-Ce Tu & Ziwei He,"December 7, 2025",2.8%[72]
1153,65,"""The Upheaval of an Era! The Color of the Supreme King That Leads Luffy"" Transliteration: ""Jidai no Uneri! Rufi o Michibiku Haōshoku"" (Japanese: 時代のうねり！ルフィを導く覇王色)",Hazuki Omoya,Ryo Yamazaki,Toshio Deguchi & Runze Wang,"December 14, 2025",2.8%[73]
1154,66,"""The Truth Behind the Secret Plan - Vegapunk Claims Victory"" Transliteration: ""Hisaku no Shinsō - Begapanku no Shōri Sengen"" (Japanese: 秘策の真相 ベガパンクの勝利宣言)",Satoshi Itō,Atsuhiro Tomioka,Masahiro Kitazaki & Shigefumi Shingaki,"December 21, 2025",2.4%[74]
1155,67,"""The Promised Horizon - Off to the Long-Awaited Elbaph!"" Transliteration: ""Yakusoku no Suiheisen - Iza Nengan no Erubafu e!"" (Japanese: 約束の水平線 いざ念願のエルバフへ！)",Directed by : Atsuo Yamai & Yasunori Koyama Storyboarded by : Yasunori Koyama,Akiko Inoue,Shūichi Itō,"December 28, 2025",TBD
